setting,model,tn,fp,fn,tp
fixed_split_train_test,text_only,408,306,201,352
fixed_split_train_test,text_plus_graph,485,229,234,319
speaker_disjoint_split,text_only,1115,550,715,766
speaker_disjoint_split,text_plus_graph,1126,539,663,818
