setting,model,tn,fp,fn,tp
fixed_split_train_test,text_only,442,272,219,334
fixed_split_train_test,text_plus_graph,451,263,216,337
speaker_disjoint_split,text_only,982,683,562,919
speaker_disjoint_split,text_plus_graph,999,666,543,938
