setting,model,tn,fp,fn,tp
fixed_split_train_test,text_only,445,269,199,354
fixed_split_train_test,text_plus_graph,469,245,205,348
speaker_disjoint_split,text_only,1017,648,538,943
speaker_disjoint_split,text_plus_graph,1041,624,542,939
