setting,model,curve,x,y,threshold
fixed_split_train_test,text_only,pr,1.0,0.43646408839779005,
fixed_split_train_test,text_only,pr,1.0,0.4368088467614534,0.16001228297813277
fixed_split_train_test,text_only,pr,1.0,0.43715415019762843,0.18035540897966487
fixed_split_train_test,text_only,pr,1.0,0.4375,0.23693621362823555
fixed_split_train_test,text_only,pr,1.0,0.43784639746634996,0.24380778006441953
fixed_split_train_test,text_only,pr,1.0,0.4381933438985737,0.24445097100563187
fixed_split_train_test,text_only,pr,1.0,0.43854084060269627,0.26177424251938963
fixed_split_train_test,text_only,pr,1.0,0.4388888888888889,0.2620177536067851
fixed_split_train_test,text_only,pr,1.0,0.4392374900714853,0.26213045902434273
fixed_split_train_test,text_only,pr,0.9981916817359855,0.43879173290937995,0.2648787006483323
fixed_split_train_test,text_only,pr,0.9981916817359855,0.43914081145584727,0.2662200102549409
fixed_split_train_test,text_only,pr,0.9981916817359855,0.4394904458598726,0.2715629588160292
fixed_split_train_test,text_only,pr,0.9981916817359855,0.4398406374501992,0.28070394689004274
fixed_split_train_test,text_only,pr,0.9981916817359855,0.44019138755980863,0.28112428662151284
fixed_split_train_test,text_only,pr,0.9981916817359855,0.4405426975259378,0.2860961797996242
fixed_split_train_test,text_only,pr,0.9981916817359855,0.44089456869009586,0.2865264421100848
fixed_split_train_test,text_only,pr,0.9981916817359855,0.4412470023980815,0.2871893119494388
fixed_split_train_test,text_only,pr,0.9963833634719711,0.4408,0.28754612621756237
fixed_split_train_test,text_only,pr,0.9963833634719711,0.4411529223378703,0.2888928730503892
fixed_split_train_test,text_only,pr,0.9963833634719711,0.44150641025641024,0.2937026452872802
fixed_split_train_test,text_only,pr,0.9963833634719711,0.4418604651162791,0.29823232840082614
fixed_split_train_test,text_only,pr,0.9963833634719711,0.442215088282504,0.3011014214801732
fixed_split_train_test,text_only,pr,0.9963833634719711,0.442570281124498,0.30117849060134405
fixed_split_train_test,text_only,pr,0.9963833634719711,0.4429260450160772,0.3017190172326673
fixed_split_train_test,text_only,pr,0.9963833634719711,0.4432823813354787,0.3024371508674754
fixed_split_train_test,text_only,pr,0.9963833634719711,0.44363929146537845,0.30244523478216523
fixed_split_train_test,text_only,pr,0.9945750452079566,0.44319097502014504,0.3027847684277555
