setting,model,curve,x,y,threshold
fixed_split_train_test,text_only,pr,1.0,0.43646408839779005,
fixed_split_train_test,text_only,pr,1.0,0.4368088467614534,0.18366168161931998
fixed_split_train_test,text_only,pr,1.0,0.43715415019762843,0.24274197176280096
fixed_split_train_test,text_only,pr,1.0,0.4375,0.25457151092445385
fixed_split_train_test,text_only,pr,1.0,0.43784639746634996,0.25670556765742647
fixed_split_train_test,text_only,pr,1.0,0.4381933438985737,0.25877126655099913
fixed_split_train_test,text_only,pr,1.0,0.43854084060269627,0.26578953288292
fixed_split_train_test,text_only,pr,1.0,0.4388888888888889,0.2660244758386116
fixed_split_train_test,text_only,pr,1.0,0.4392374900714853,0.26811226623280343
fixed_split_train_test,text_only,pr,1.0,0.4395866454689984,0.27144822090051035
fixed_split_train_test,text_only,pr,0.9981916817359855,0.43914081145584727,0.2718889328531916
fixed_split_train_test,text_only,pr,0.9981916817359855,0.4394904458598726,0.27421324672225433
fixed_split_train_test,text_only,pr,0.9981916817359855,0.4398406374501992,0.27489323898183554
fixed_split_train_test,text_only,pr,0.9981916817359855,0.44019138755980863,0.27723003058549983
fixed_split_train_test,text_only,pr,0.9981916817359855,0.4405426975259378,0.27866499210229484
fixed_split_train_test,text_only,pr,0.9981916817359855,0.44089456869009586,0.2807526713374575
fixed_split_train_test,text_only,pr,0.9981916817359855,0.4412470023980815,0.2811980539204892
fixed_split_train_test,text_only,pr,0.9963833634719711,0.4408,0.28216180328657325
fixed_split_train_test,text_only,pr,0.9963833634719711,0.4411529223378703,0.2827923414820285
fixed_split_train_test,text_only,pr,0.9963833634719711,0.44150641025641024,0.28411899367616505
fixed_split_train_test,text_only,pr,0.9963833634719711,0.4418604651162791,0.28527933122910865
fixed_split_train_test,text_only,pr,0.9963833634719711,0.442215088282504,0.28559432546112157
fixed_split_train_test,text_only,pr,0.9945750452079566,0.44176706827309237,0.2864514586471637
fixed_split_train_test,text_only,pr,0.9927667269439421,0.4413183279742765,0.28876060447927127
fixed_split_train_test,text_only,pr,0.9927667269439421,0.4416733708769107,0.2904666193810898
fixed_split_train_test,text_only,pr,0.9927667269439421,0.4420289855072464,0.2917294186599227
fixed_split_train_test,text_only,pr,0.9927667269439421,0.44238517324738114,0.2930074049664792
fixed_split_train_test,text_only,pr,0.9927667269439421,0.442741935483871,0.29465164798368587
fixed_split_train_test,text_only,pr,0.9927667269439421,0.4430992736077482,0.29747295552759856
fixed_split_train_test,text_only,pr,0.9927667269439421,0.44345718901453957,0.29825170469656853
fixed_split_train_test,text_only,pr,0.9927667269439421,0.44381568310428454,0.29943760825860827
fixed_split_train_test,text_only,pr,0.9927667269439421,0.4441747572815534,0.2996415239307453
fixed_split_train_test,text_only,pr,0.9927667269439421,0.4445344129554656,0.2998408437367766
fixed_split_train_test,text_only,pr,0.9927667269439421,0.44489465153970825,0.29991341774986713
fixed_split_train_test,text_only,pr,0.9909584086799277,0.4444444444444444,0.3002560452064392
fixed_split_train_test,text_only,pr,0.9909584086799277,0.4448051948051948,0.30375243335041346
fixed_split_train_test,text_only,pr,0.9909584086799277,0.44516653127538586,0.3046442305678875
fixed_split_train_test,text_only,pr,0.9909584086799277,0.44552845528455287,0.3067453470036117
fixed_split_train_test,text_only,pr,0.9909584086799277,0.4458909682668836,0.30708419279675775
fixed_split_train_test,text_only,pr,0.9909584086799277,0.44625407166123776,0.30713912408770966
fixed_split_train_test,text_only,pr,0.9909584086799277,0.44661776691116545,0.3078885672214777
fixed_split_train_test,text_only,pr,0.9909584086799277,0.4469820554649266,0.3088494904334239
fixed_split_train_test,text_only,pr,0.9909584086799277,0.4473469387755102,0.30903633425638044
fixed_split_train_test,text_only,pr,0.9909584086799277,0.4477124183006536,0.3106656681591933
fixed_split_train_test,text_only,pr,0.9909584086799277,0.44807849550286183,0.31084617441745444
fixed_split_train_test,text_only,pr,0.9909584086799277,0.44844517184942717,0.3110607275915326
fixed_split_train_test,text_only,pr,0.9891500904159132,0.447993447993448,0.31133966324705686
fixed_split_train_test,text_only,pr,0.9891500904159132,0.4483606557377049,0.31136033811132563
fixed_split_train_test,text_only,pr,0.9891500904159132,0.44872846595570137,0.312305507041544
fixed_split_train_test,text_only,pr,0.9891500904159132,0.4490968801313629,0.3125676397877376
fixed_split_train_test,text_only,pr,0.9891500904159132,0.4494658997534922,0.3130037498040089
fixed_split_train_test,text_only,pr,0.9873417721518988,0.44901315789473684,0.3134394503604674
fixed_split_train_test,text_only,pr,0.9873417721518988,0.44938271604938274,0.3148704646038876
fixed_split_train_test,text_only,pr,0.9873417721518988,0.4497528830313015,0.3152747581897456
fixed_split_train_test,text_only,pr,0.9855334538878843,0.44929925803792253,0.3155386093221718
fixed_split_train_test,text_only,pr,0.9855334538878843,0.44966996699669964,0.315602004691517
fixed_split_train_test,text_only,pr,0.9855334538878843,0.4500412881915772,0.3162811863583483
fixed_split_train_test,text_only,pr,0.9855334538878843,0.45041322314049587,0.31651593751558593
fixed_split_train_test,text_only,pr,0.9855334538878843,0.4507857733664185,0.31675497554764204
fixed_split_train_test,text_only,pr,0.9837251356238698,0.4503311258278146,0.3193058303749279
fixed_split_train_test,text_only,pr,0.9837251356238698,0.4507042253521127,0.31959219207931333
fixed_split_train_test,text_only,pr,0.9837251356238698,0.45107794361525705,0.31977357903131165
fixed_split_train_test,text_only,pr,0.9837251356238698,0.45145228215767635,0.31989197658552593
fixed_split_train_test,text_only,pr,0.9837251356238698,0.45182724252491696,0.32015775403981295
fixed_split_train_test,text_only,pr,0.9837251356238698,0.45220282626766417,0.3203331726302471
fixed_split_train_test,text_only,pr,0.9837251356238698,0.4525790349417637,0.32088277626790285
fixed_split_train_test,text_only,pr,0.9837251356238698,0.4529558701082431,0.3222516878061546
fixed_split_train_test,text_only,pr,0.9837251356238698,0.4533333333333333,0.32272636075676586
fixed_split_train_test,text_only,pr,0.9837251356238698,0.4537114261884904,0.32349266390965253
fixed_split_train_test,text_only,pr,0.9819168173598554,0.4532554257095159,0.3235461832756772
fixed_split_train_test,text_only,pr,0.9819168173598554,0.45363408521303256,0.32362662056585656
fixed_split_train_test,text_only,pr,0.9819168173598554,0.4540133779264214,0.3237919087673798
fixed_split_train_test,text_only,pr,0.9819168173598554,0.45439330543933054,0.3247088487040041
fixed_split_train_test,text_only,pr,0.9819168173598554,0.4547738693467337,0.3256669087234674
fixed_split_train_test,text_only,pr,0.9819168173598554,0.4551550712489522,0.3258889770610718
fixed_split_train_test,text_only,pr,0.9819168173598554,0.45553691275167785,0.32603230332191424
fixed_split_train_test,text_only,pr,0.9819168173598554,0.45591939546599497,0.32708475489474276
