setting,model,curve,x,y,threshold
fixed_split_train_test,text_only,pr,1.0,0.43646408839779005,
fixed_split_train_test,text_only,pr,1.0,0.4368088467614534,0.23405489500647605
fixed_split_train_test,text_only,pr,0.9981916817359855,0.43636363636363634,0.2407016829641995
fixed_split_train_test,text_only,pr,0.9981916817359855,0.43670886075949367,0.2484423071403173
fixed_split_train_test,text_only,pr,0.9981916817359855,0.43705463182897863,0.2492394864357311
fixed_split_train_test,text_only,pr,0.9981916817359855,0.43740095087163233,0.25371593577709584
fixed_split_train_test,text_only,pr,0.9981916817359855,0.43774781919111816,0.2551446878625234
fixed_split_train_test,text_only,pr,0.9963833634719711,0.4373015873015873,0.2555593916924092
fixed_split_train_test,text_only,pr,0.9963833634719711,0.43764892772041303,0.2592947894636236
fixed_split_train_test,text_only,pr,0.9945750452079566,0.43720190779014306,0.26115077866786485
fixed_split_train_test,text_only,pr,0.9945750452079566,0.4375497215592681,0.26178999088407084
fixed_split_train_test,text_only,pr,0.9945750452079566,0.43789808917197454,0.2635106913476032
fixed_split_train_test,text_only,pr,0.9927667269439421,0.43745019920318723,0.2637425390538792
fixed_split_train_test,text_only,pr,0.9909584086799277,0.4370015948963317,0.264997554980916
fixed_split_train_test,text_only,pr,0.9909584086799277,0.43735035913806863,0.2661256654095765
fixed_split_train_test,text_only,pr,0.9909584086799277,0.43769968051118213,0.26669581037186824
fixed_split_train_test,text_only,pr,0.9909584086799277,0.4380495603517186,0.26676570419314793
fixed_split_train_test,text_only,pr,0.9891500904159132,0.4376,0.2671735156851251
fixed_split_train_test,text_only,pr,0.9891500904159132,0.4379503602882306,0.26753893496973574
fixed_split_train_test,text_only,pr,0.9891500904159132,0.43830128205128205,0.2709392819075178
fixed_split_train_test,text_only,pr,0.9891500904159132,0.43865276663993585,0.2715958948034987
fixed_split_train_test,text_only,pr,0.9891500904159132,0.4390048154093098,0.2719117952669066
fixed_split_train_test,text_only,pr,0.9891500904159132,0.4393574297188755,0.27195712150976004
fixed_split_train_test,text_only,pr,0.9891500904159132,0.4397106109324759,0.2745242066505229
fixed_split_train_test,text_only,pr,0.9891500904159132,0.44006436041834274,0.27459929290829865
fixed_split_train_test,text_only,pr,0.9891500904159132,0.44041867954911434,0.2749662117782309
fixed_split_train_test,text_only,pr,0.9873417721518988,0.4399677679290894,0.27499365594240166
fixed_split_train_test,text_only,pr,0.9873417721518988,0.4403225806451613,0.27652068661666585
fixed_split_train_test,text_only,pr,0.9855334538878843,0.43987086359967714,0.2765650955132344
fixed_split_train_test,text_only,pr,0.9855334538878843,0.44022617124394187,0.2770543269911137
fixed_split_train_test,text_only,pr,0.9855334538878843,0.44058205335489087,0.2775896199256945
fixed_split_train_test,text_only,pr,0.9837251356238698,0.4401294498381877,0.2777000884923181
fixed_split_train_test,text_only,pr,0.9837251356238698,0.4404858299595142,0.2812297207048328
fixed_split_train_test,text_only,pr,0.9837251356238698,0.44084278768233387,0.2822296334840831
fixed_split_train_test,text_only,pr,0.9837251356238698,0.44120032441200324,0.2823803592915425
fixed_split_train_test,text_only,pr,0.9837251356238698,0.44155844155844154,0.2824742859519727
fixed_split_train_test,text_only,pr,0.9837251356238698,0.44191714053614944,0.28350837305600174
fixed_split_train_test,text_only,pr,0.9837251356238698,0.44227642276422763,0.28384208042262743
fixed_split_train_test,text_only,pr,0.9837251356238698,0.44263628966639545,0.2854058665802636
fixed_split_train_test,text_only,pr,0.9837251356238698,0.44299674267100975,0.28551478548155806
fixed_split_train_test,text_only,pr,0.9837251356238698,0.44335778321108393,0.28591695055899014
fixed_split_train_test,text_only,pr,0.9837251356238698,0.4437194127243067,0.28811098198783336
fixed_split_train_test,text_only,pr,0.9837251356238698,0.4440816326530612,0.288253017944972
fixed_split_train_test,text_only,pr,0.9819168173598554,0.44362745098039214,0.28884681344132723
fixed_split_train_test,text_only,pr,0.9819168173598554,0.4439901880621423,0.290002824506787
fixed_split_train_test,text_only,pr,0.9819168173598554,0.44435351882160395,0.2908562787747897
fixed_split_train_test,text_only,pr,0.9819168173598554,0.44471744471744473,0.2925554177392352
fixed_split_train_test,text_only,pr,0.9801084990958409,0.44426229508196724,0.292886326084079
fixed_split_train_test,text_only,pr,0.9801084990958409,0.4446267432321575,0.2933014799255986
fixed_split_train_test,text_only,pr,0.9801084990958409,0.44499178981937604,0.29491390181154203
fixed_split_train_test,text_only,pr,0.9783001808318263,0.4445357436318817,0.29520349042498223
fixed_split_train_test,text_only,pr,0.9783001808318263,0.4449013157894737,0.295443016123785
fixed_split_train_test,text_only,pr,0.9783001808318263,0.44526748971193414,0.2954642436008368
fixed_split_train_test,text_only,pr,0.9783001808318263,0.4456342668863262,0.2958598753210223
fixed_split_train_test,text_only,pr,0.976491862567812,0.4451772464962902,0.29727976491505975
fixed_split_train_test,text_only,pr,0.976491862567812,0.44554455445544555,0.29753898729665956
fixed_split_train_test,text_only,pr,0.976491862567812,0.44591246903385634,0.29767025905337363
fixed_split_train_test,text_only,pr,0.976491862567812,0.4462809917355372,0.2994108479099618
fixed_split_train_test,text_only,pr,0.976491862567812,0.4466501240694789,0.30009812105921413
fixed_split_train_test,text_only,pr,0.976491862567812,0.4470198675496689,0.3013761071012934
fixed_split_train_test,text_only,pr,0.9746835443037974,0.44656172328086163,0.3017454593774308
fixed_split_train_test,text_only,pr,0.9746835443037974,0.4469320066334992,0.30348483089745204
fixed_split_train_test,text_only,pr,0.9746835443037974,0.4473029045643154,0.3036712394006219
fixed_split_train_test,text_only,pr,0.972875226039783,0.446843853820598,0.30407168445612465
fixed_split_train_test,text_only,pr,0.9710669077757685,0.4463840399002494,0.30448247533201267
fixed_split_train_test,text_only,pr,0.9710669077757685,0.44675540765391014,0.30448568750808974
fixed_split_train_test,text_only,pr,0.9710669077757685,0.44712739383846795,0.3045431885771938
fixed_split_train_test,text_only,pr,0.9710669077757685,0.4475,0.3056116578672193
fixed_split_train_test,text_only,pr,0.9710669077757685,0.44787322768974147,0.3058317411245037
fixed_split_train_test,text_only,pr,0.9710669077757685,0.44824707846410683,0.30611557389328714
fixed_split_train_test,text_only,pr,0.9710669077757685,0.44862155388471175,0.3063249245313248
fixed_split_train_test,text_only,pr,0.9710669077757685,0.4489966555183946,0.3067111770435376
fixed_split_train_test,text_only,pr,0.969258589511754,0.4485355648535565,0.307031408664204
