setting,model,tn,fp,fn,tp
fixed_split_train_test,text_only,444,270,217,336
fixed_split_train_test,text_plus_graph,448,266,217,336
speaker_disjoint_split,text_only,974,691,567,914
speaker_disjoint_split,text_plus_graph,991,674,550,931
