setting,model,tn,fp,fn,tp
fixed_split_train_test,text_only,532,182,330,223
fixed_split_train_test,text_plus_graph,575,139,322,231
speaker_disjoint_split,text_only,1278,387,881,600
speaker_disjoint_split,text_plus_graph,1301,364,906,575
