setting,model,curve,x,y,threshold
fixed_split_train_test,text_only,pr,1.0,0.43646408839779005,
fixed_split_train_test,text_only,pr,1.0,0.4368088467614534,0.14531670321674894
fixed_split_train_test,text_only,pr,1.0,0.43715415019762843,0.16803017336603135
fixed_split_train_test,text_only,pr,1.0,0.4375,0.17249128884091214
fixed_split_train_test,text_only,pr,1.0,0.43784639746634996,0.17272240012667803
fixed_split_train_test,text_only,pr,1.0,0.4381933438985737,0.17275877584772428
fixed_split_train_test,text_only,pr,1.0,0.43854084060269627,0.1738875309838283
fixed_split_train_test,text_only,pr,0.9981916817359855,0.4380952380952381,0.17430403376355896
fixed_split_train_test,text_only,pr,0.9981916817359855,0.4384432088959492,0.18702007342776508
fixed_split_train_test,text_only,pr,0.9963833634719711,0.4379968203497615,0.19018015163402985
fixed_split_train_test,text_only,pr,0.9963833634719711,0.4383452665075577,0.19384892926803754
fixed_split_train_test,text_only,pr,0.9963833634719711,0.43869426751592355,0.19471076833157827
fixed_split_train_test,text_only,pr,0.9963833634719711,0.43904382470119524,0.20565422915209142
fixed_split_train_test,text_only,pr,0.9963833634719711,0.4393939393939394,0.2072502951798841
fixed_split_train_test,text_only,pr,0.9963833634719711,0.4397446129289705,0.2074489473371076
fixed_split_train_test,text_only,pr,0.9963833634719711,0.44009584664536744,0.20756311959441806
fixed_split_train_test,text_only,pr,0.9963833634719711,0.4404476418864908,0.2086675182813062
fixed_split_train_test,text_only,pr,0.9963833634719711,0.4408,0.21136402550804093
fixed_split_train_test,text_only,pr,0.9963833634719711,0.4411529223378703,0.21182232284619945
fixed_split_train_test,text_only,pr,0.9963833634719711,0.44150641025641024,0.21219010056334572
fixed_split_train_test,text_only,pr,0.9963833634719711,0.4418604651162791,0.21290388594121454
fixed_split_train_test,text_only,pr,0.9963833634719711,0.442215088282504,0.21395667673618257
fixed_split_train_test,text_only,pr,0.9945750452079566,0.44176706827309237,0.21617634082409595
fixed_split_train_test,text_only,pr,0.9945750452079566,0.44212218649517687,0.21760675036566635
fixed_split_train_test,text_only,pr,0.9945750452079566,0.4424778761061947,0.21885204095956307
fixed_split_train_test,text_only,pr,0.9945750452079566,0.4428341384863124,0.21967970129160402
fixed_split_train_test,text_only,pr,0.9945750452079566,0.44319097502014504,0.2203923136506478
fixed_split_train_test,text_only,pr,0.9945750452079566,0.4435483870967742,0.22232249925879366
fixed_split_train_test,text_only,pr,0.9945750452079566,0.44390637610976597,0.22488381001074487
fixed_split_train_test,text_only,pr,0.9945750452079566,0.44426494345718903,0.22693812284638365
fixed_split_train_test,text_only,pr,0.9927667269439421,0.44381568310428454,0.22798674758921578
fixed_split_train_test,text_only,pr,0.9909584086799277,0.44336569579288027,0.2284706523503127
fixed_split_train_test,text_only,pr,0.9909584086799277,0.4437246963562753,0.23144175174839465
fixed_split_train_test,text_only,pr,0.9909584086799277,0.44408427876823336,0.23242872866585654
fixed_split_train_test,text_only,pr,0.9909584086799277,0.4444444444444444,0.23529363432264247
fixed_split_train_test,text_only,pr,0.9909584086799277,0.4448051948051948,0.23573752657692296
fixed_split_train_test,text_only,pr,0.9909584086799277,0.44516653127538586,0.23617944250384074
fixed_split_train_test,text_only,pr,0.9909584086799277,0.44552845528455287,0.2367176182846316
fixed_split_train_test,text_only,pr,0.9909584086799277,0.4458909682668836,0.2373722572340901
fixed_split_train_test,text_only,pr,0.9909584086799277,0.44625407166123776,0.23811588468764053
fixed_split_train_test,text_only,pr,0.9909584086799277,0.44661776691116545,0.2407765011442416
fixed_split_train_test,text_only,pr,0.9909584086799277,0.4469820554649266,0.24195728454297946
fixed_split_train_test,text_only,pr,0.9909584086799277,0.4473469387755102,0.24221871876094722
fixed_split_train_test,text_only,pr,0.9909584086799277,0.4477124183006536,0.2436449718355469
fixed_split_train_test,text_only,pr,0.9909584086799277,0.44807849550286183,0.24702363600334146
fixed_split_train_test,text_only,pr,0.9909584086799277,0.44844517184942717,0.24763349903002538
fixed_split_train_test,text_only,pr,0.9909584086799277,0.4488124488124488,0.24803040113594807
fixed_split_train_test,text_only,pr,0.9909584086799277,0.4491803278688525,0.24862066575583475
fixed_split_train_test,text_only,pr,0.9909584086799277,0.4495488105004102,0.24876887268075862
fixed_split_train_test,text_only,pr,0.9891500904159132,0.4490968801313629,0.24906752157228151
fixed_split_train_test,text_only,pr,0.9873417721518988,0.4486442070665571,0.24964391642958655
fixed_split_train_test,text_only,pr,0.9873417721518988,0.44901315789473684,0.2505838448068067
fixed_split_train_test,text_only,pr,0.9873417721518988,0.44938271604938274,0.25089651873552427
